goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexNoSpin/native-10                   	 5451216	       219.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10                   	 5422290	       223.4 ns/op	      15 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5338854	       240.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 4975822	       245.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 4656110	       252.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5314833	       227.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5114728	       230.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 5225138	       248.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  508497	      2363 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  507342	      2381 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  508765	      2362 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  510998	      2357 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  512772	      2361 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  509958	      2366 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  490089	      2470 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  493178	      2478 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  486096	      2473 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  488766	      2467 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  487086	      2476 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  491923	      2470 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/native-10                     	 1437860	       836.2 ns/op	      10 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1394624	       838.0 ns/op	      10 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1415035	       841.3 ns/op	      11 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1406710	       841.7 ns/op	      11 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1409034	       857.2 ns/op	      11 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1377870	       864.9 ns/op	      12 B/op	       0 allocs/op
PASS
ok  	github.com/neilotoole/fifomu	270.300s
PASS
ok  	github.com/neilotoole/fifomu/internal/native	0.184s
